MUNICIPIO,REDE,IDEB_2017
Abaetetuba,Federal,-
Abaetetuba,Estadual,3.1
Abaetetuba,Pública,3.1
Abel Figueiredo,Estadual,2.8
Abel Figueiredo,Pública,2.8
Acará,Estadual,2.5
Acará,Pública,2.5
Afuá,Pública,-
Afuá,Estadual,-
Água Azul do Norte,Estadual,2.7
Água Azul do Norte,Pública,2.7
Alenquer,Pública,2.7
Alenquer,Estadual,2.7
Almeirim,Estadual,2.1
Almeirim,Pública,2.1
Altamira,Pública,3.3
Altamira,Estadual,3.3
Anajás,Estadual,2.7
Anajás,Pública,2.7
Ananindeua,Pública,2.7
Ananindeua,Estadual,2.7
Anapu,Estadual,3.2
Anapu,Pública,3.2
Augusto Corrêa,Estadual,2.5
Augusto Corrêa,Pública,2.5
Aurora do Pará,Pública,2.6
Aurora do Pará,Estadual,2.6
Aveiro,Estadual,2.2
Aveiro,Pública,2.2
Bagre,Pública,2.8
Bagre,Estadual,2.8
Baião,Pública,2.4
Baião,Estadual,2.4
Bannach,Pública,2.8
Bannach,Estadual,2.8
Barcarena,Estadual,2.6
Barcarena,Pública,2.6
Belém,Municipal,2.5
Belém,Estadual,2.8
Belém,Pública,2.9
Belém,Federal,5.6
Belterra,Estadual,2.8
Belterra,Pública,2.8
Benevides,Estadual,2.5
Benevides,Pública,2.5
Bom Jesus do Tocantins,Pública,3.1
Bom Jesus do Tocantins,Estadual,3.1
Bonito,Estadual,2.2
Bonito,Pública,2.2
Bragança,Pública,2.7
Bragança,Federal,-
Bragança,Estadual,2.7
Brasil Novo,Estadual,3
Brasil Novo,Pública,3
Brejo Grande do Araguaia,Pública,-
Brejo Grande do Araguaia,Estadual,-
Breu Branco,Estadual,2.5
Breu Branco,Pública,2.5
Breves,Pública,3.3
Breves,Estadual,3.3
Bujaru,Estadual,2.6
Bujaru,Pública,2.6
Cachoeira do Piriá,Pública,2.7
Cachoeira do Piriá,Estadual,2.7
Cachoeira do Arari,Pública,2.7
Cachoeira do Arari,Estadual,2.7
Cametá,Pública,3
Cametá,Estadual,3
Canaã dos Carajás,Pública,2.2
Canaã dos Carajás,Estadual,2.2
Capanema,Estadual,2.6
Capanema,Pública,2.6
Capitão Poço,Pública,3
Capitão Poço,Estadual,3
Castanhal,Federal,5.3
Castanhal,Pública,2.7
Castanhal,Estadual,2.6
Chaves,Estadual,2.8
Chaves,Pública,2.8
Colares,Pública,3.2
Colares,Estadual,3.2
Conceição do Araguaia,Pública,2.7
Conceição do Araguaia,Estadual,2.5
Conceição do Araguaia,Federal,5.3
Concórdia do Pará,Pública,2.4
Concórdia do Pará,Estadual,2.4
Cumaru do Norte,Pública,2.1
Cumaru do Norte,Estadual,2.1
Curionópolis,Pública,2.3
Curionópolis,Estadual,2.3
Curralinho,Estadual,2.3
Curralinho,Pública,2.3
Curuá,Pública,2.9
Curuá,Estadual,2.9
Curuçá,Pública,2.6
Curuçá,Estadual,2.6
Dom Eliseu,Estadual,2.2
Dom Eliseu,Pública,2.2
Eldorado do Carajás,Pública,2.3
Eldorado do Carajás,Estadual,2.3
Faro,Estadual,3.2
Faro,Pública,3.2
Floresta do Araguaia,Pública,2.9
Floresta do Araguaia,Estadual,2.9
Garrafão do Norte,Pública,2.6
Garrafão do Norte,Estadual,2.6
Goianésia do Pará,Pública,2.8
Goianésia do Pará,Estadual,2.8
Gurupá,Estadual,2
Gurupá,Pública,2
Igarapé-Açu,Pública,2.6
Igarapé-Açu,Estadual,2.6
Igarapé-Miri,Pública,2.9
Igarapé-Miri,Estadual,2.9
Inhangapi,Pública,2.3
Inhangapi,Estadual,2.3
Ipixuna do Pará,Pública,2.3
Ipixuna do Pará,Estadual,2.3
Irituia,Estadual,3
Irituia,Pública,3
Itaituba,Pública,2.9
Itaituba,Federal,-
Itaituba,Estadual,2.8
Itupiranga,Pública,2.8
Itupiranga,Estadual,2.8
Jacareacanga,Estadual,-
Jacareacanga,Pública,-
Jacundá,Pública,2.3
Jacundá,Estadual,2.3
Juruti,Pública,2.8
Juruti,Estadual,2.8
Limoeiro do Ajuru,Pública,3
Limoeiro do Ajuru,Estadual,3
Mãe do Rio,Estadual,2.8
Mãe do Rio,Pública,2.8
Magalhães Barata,Pública,-
Magalhães Barata,Estadual,-
Marabá,Pública,2.8
Marabá,Estadual,2.8
Maracanã,Pública,2.6
Maracanã,Estadual,2.6
Marapanim,Estadual,2.4
Marapanim,Pública,2.4
Marituba,Pública,2.7
Marituba,Estadual,2.7
Medicilândia,Pública,2.3
Medicilândia,Estadual,2.3
Melgaço,Estadual,-
Melgaço,Pública,-
Mocajuba,Pública,2.3
Mocajuba,Estadual,2.3
Moju,Estadual,2.5
Moju,Pública,2.5
Mojuí dos Campos,Pública,3
Mojuí dos Campos,Estadual,3
Monte Alegre,Pública,3.1
Monte Alegre,Estadual,3.1
Muaná,Pública,2.5
Muaná,Estadual,2.5
Nova Esperança do Piriá,Estadual,2.5
Nova Esperança do Piriá,Pública,2.5
Nova Ipixuna,Pública,3.2
Nova Ipixuna,Estadual,3.2
Nova Timboteua,Pública,3.1
Nova Timboteua,Estadual,3.1
Novo Progresso,Estadual,2.7
Novo Progresso,Pública,2.7
Novo Repartimento,Pública,2.6
Novo Repartimento,Estadual,2.6
Óbidos,Estadual,2.4
Óbidos,Pública,2.4
Oeiras do Pará,Estadual,2.1
Oeiras do Pará,Pública,2.1
Oriximiná,Estadual,2.7
Oriximiná,Pública,2.7
Ourém,Pública,3.2
Ourém,Estadual,3.2
Ourilândia do Norte,Pública,3
Ourilândia do Norte,Estadual,3
Pacajá,Municipal,3.6
Pacajá,Pública,2.9
Pacajá,Estadual,2.9
Palestina do Pará,Pública,2.5
Palestina do Pará,Estadual,2.5
Paragominas,Estadual,2.8
Paragominas,Pública,2.8
Parauapebas,Estadual,2.6
Parauapebas,Pública,2.7
Pau D'Arco,Estadual,1.5
Pau D'Arco,Pública,1.5
Peixe-Boi,Estadual,2.9
Peixe-Boi,Pública,2.9
Piçarra,Estadual,2.4
Piçarra,Pública,2.4
Placas,Pública,2.8
Placas,Estadual,2.8
Ponta de Pedras,Estadual,2.8
Ponta de Pedras,Pública,2.8
Portel,Estadual,2.7
Portel,Pública,2.7
Porto de Moz,Pública,2.8
Porto de Moz,Estadual,2.8
Prainha,Pública,2.4
Prainha,Estadual,2.4
Primavera,Pública,2.5
Primavera,Estadual,2.5
Quatipuru,Pública,2.2
Quatipuru,Estadual,2.2
Redenção,Pública,2.4
Redenção,Estadual,2.4
Rio Maria,Pública,2.8
Rio Maria,Estadual,2.8
Rondon do Pará,Estadual,2.9
Rondon do Pará,Pública,2.9
Rurópolis,Estadual,2.9
Rurópolis,Pública,2.9
Salinópolis,Estadual,2.3
Salinópolis,Pública,2.3
Salvaterra,Estadual,2.8
Salvaterra,Pública,2.8
Santa Bárbara do Pará,Estadual,2.6
Santa Bárbara do Pará,Pública,2.6
Santa Cruz do Arari,Estadual,2.6
Santa Cruz do Arari,Pública,2.6
Santa Izabel do Pará,Estadual,2.7
Santa Izabel do Pará,Pública,2.7
Santa Luzia do Pará,Pública,2.6
Santa Luzia do Pará,Estadual,2.6
Santa Maria das Barreiras,Estadual,2.1
Santa Maria das Barreiras,Pública,2.1
Santa Maria do Pará,Estadual,3.2
Santa Maria do Pará,Pública,3.2
Santana do Araguaia,Estadual,2.2
Santana do Araguaia,Pública,2.2
Santarém,Federal,-
Santarém,Pública,3.1
Santarém,Estadual,2.9
Santarém Novo,Estadual,2.8
Santarém Novo,Pública,2.8
Santo Antônio do Tauá,Estadual,2.4
Santo Antônio do Tauá,Pública,2.4
